58;60;5
90;73;4
56;150;46
70;76;23
63;39;1
89;38;2
15;160;2
99;125;25
51;25;25
47;5;16
60;18;25
32;137;2
1;169;41
37;108;38
95;96;45
100;33;11
84;94;47
86;126;8
32;162;9
37;102;40
87;148;15
89;190;12
68;163;31
49;12;27
23;10;20
99;35;28
37;134;33
81;189;1
78;56;48
5;49;26
79;199;29
80;196;13
63;63;26
85;170;50
11;88;32
17;145;4
44;104;23
45;56;27
80;132;44
25;183;39
31;64;8
13;143;39
63;39;35
16;122;50
100;196;26
59;3;20
13;62;6
89;38;29
49;189;35
24;96;1
20;54;49
42;13;32
81;188;48
92;144;35
30;86;4
31;11;46
10;185;1
37;99;7
13;175;9
50;196;28
54;22;32
71;171;35
51;200;15
39;1;15
22;191;38
98;50;12
84;24;25
63;39;37
25;107;16
69;105;18
33;60;40
61;176;34
15;35;45
57;15;42
96;143;14
69;60;34
76;101;46
4;56;33
5;72;3
30;128;9
80;44;45
40;142;34
37;70;20
22;44;16
40;191;36
9;22;8
30;158;50
88;160;12
85;19;43
76;14;39
52;112;9
11;108;28
73;190;26
14;104;40
46;138;5
79;123;44
78;107;46
57;103;11
88;93;46
99;185;17
64;158;33
58;33;30
38;35;38
12;70;41
99;158;35
29;112;50
90;190;31
8;72;27
72;62;7
98;30;22
20;183;45
30;128;42
48;30;35
88;158;41
49;26;33
13;8;36
16;77;20
3;166;39
7;97;12
7;159;5
90;94;29
13;122;14
67;132;13
93;135;42
30;163;44
42;52;5
60;139;34
24;60;45
91;120;36
60;14;1
80;3;31
16;95;13
30;187;24
69;103;37
46;106;5
89;190;15
65;179;13
97;153;23
79;85;3
59;30;4
26;84;44
90;31;37
60;119;10
50;64;27
17;5;50
91;22;46
66;182;33
20;161;16
85;199;21
91;174;44
97;187;15
62;164;2
63;19;29
80;153;35
69;169;35
88;150;1
11;95;34
74;164;50
36;187;35
66;108;32
56;189;5
46;123;22
95;107;19
26;155;43
12;68;19
26;39;4
2;40;2
69;9;45
3;191;38
12;131;18
13;122;29
92;167;4
13;97;3
43;98;5
12;58;5
5;139;17
70;74;4
24;32;34
88;166;36
66;138;35
72;176;43
16;143;9
29;99;46
47;116;45
81;69;28
72;7;18
49;116;37
76;124;16
53;149;5
86;152;28
29;195;27
38;17;34
100;79;26
82;151;42
6;162;34
33;161;4
55;155;45
85;48;3
63;19;22
29;123;41
